#CREATED MARCH 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#TABLE OF GENES, CORRESPONDING TRANSRIPTS (VARIANT-RESOLVED) AND PRODUCT DESCRIPTION FROM APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2)
GeneID	TranscriptID	Gene_Desc
ROCK2	NM_001278335.1	 Rho-associated, coiled-coil containing protein kinase 2 
LOC551420	NM_001278336.1	 protein O-mannosyltransferase 1-like 
LOC100576447	NM_001278338.1	 DNA damage-regulated autophagy modulator protein 2-like 
LOC413108	NM_001278679.1	 pre-mRNA-processing factor 40 homolog A-like 
LOC552232	NM_001278680.1	 ADP-ribosylation factor-like protein 2-binding protein-like 
LOC100578439	NM_001278681.1	 chascon-like 
LOC552716	NM_001278705.1	 metallophosphoesterase 1 homolog 
LOC725821	NM_001278706.1	 uncharacterized LOC725821 
LOC552729	NM_001278707.1	 neuroguidin-A-like 
LOC413527	NM_001289441.1	 neuromedin-U receptor 1-like 
Grd	NM_001305884.1	 GABA-gated ion channel 
LOC550684	NM_001314079.1	 protein unc-50 homolog 
TpnCIIIa	NM_001318482.1	 troponin C type IIIa 
LOC100577376	NM_001319268.1	 voltage-dependent calcium channel subunit alpha-2/delta-3-like 
LOC726419	NM_001319269.1	 beta-1,3-galactosyltransferase 
LOC100576414	NM_001327947.1	 putative fatty acyl-CoA reductase CG5065 
LOC100577239	NM_001327948.1	 uncharacterized LOC100577239 
LOC100577273	NM_001327949.1	 uncharacterized LOC100577273 
LOC100578724	NM_001327950.1	 uncharacterized LOC100578724 
LOC100578899	NM_001327951.1	 muscle calcium channel subunit alpha-1 
LOC102654970	NM_001327952.1	 protein tipE 
LOC107965838	NM_001327953.1	 poly(U)-specific endoribonuclease homolog 
LOC408841	NM_001327954.1	 voltage-dependent calcium channel subunit alpha-2/delta-3 
LOC411611	NM_001327955.1	 tachykinin-like peptides receptor 99D 
LOC550899	NM_001327956.1	 UPF0769 protein C21orf59 homolog 
LOC551454	NM_001327957.1	 voltage-dependent calcium channel subunit alpha-2/delta-3 
LOC551883	NM_001327958.1	 voltage-dependent T-type calcium channel subunit alpha-1G 
LOC552398	NM_001327959.1	 beta-1,3-galactosyltransferase 1-like 
LOC724225	NM_001327960.1	 sex peptide receptor-like 
LOC724602	NM_001327961.1	 FMRFamide receptor 
LOC724903	NM_001327962.1	 protein tipE 
LOC726237	NM_001327963.1	 protein disulfide-isomerase TMX3 
LOC726262	NM_001327964.1	 adenylate cyclase type 8-like 
LOC727131	NM_001327965.1	 spidroin-2-like 
LOC551179	NM_001327966.1	 methyl farnesoate epoxidase 
LOC724216	NM_001327967.1	 juvenile hormone acid O-methyltransferase 
Vhdl	NM_001331117.1	 larval-specific very high density lipoprotein 
LOC724946	NM_001365139.1	 cytochrome P450 6a14-like 
LOC112935903	NM_001365140.1	 cytochrome P450 6a14-like 
LOC551028	NM_001365199.1	 cytochrome P450 6a14-like 
LOC112939925	NM_001365200.1	 cytochrome P450 6a13-like 
Kakusei	NR_003565.1	 kakusei non-coding nuclear RNA 
Ancr-1	NR_003566.1	 AncR-1 non-coding nuclear RNA 
Ks-1	NR_003567.1	 Ks-1 non-coding nuclear RNA 
Dsx	NR_024131.1	 doublesex 
bantam	NR_031508.1	 microRNA bantam 
Mir12	NR_031509.1	 microRNA 12 
Mir124	NR_031510.1	 microRNA 124 
Mir125	NR_031511.1	 microRNA 125 
Mir133	NR_031512.1	 microRNA 133 
Mir184	NR_031513.1	 microRNA 184 
Mir210	NR_031514.1	 microRNA 210 
Mir219	NR_031515.1	 microRNA 219 
Mir263a	NR_031516.1	 microRNA 263a 
Mir276	NR_031517.1	 microRNA 276 
Mir277	NR_031518.1	 microRNA 277 
Mir278	NR_031519.1	 microRNA 278 
Mir281	NR_031520.1	 microRNA 281 
Mir282	NR_031521.1	 microRNA 282 
Mir2-1	NR_031522.1	 microRNA 2-1 
Mir2-2	NR_031523.1	 microRNA 2-2 
Mir305	NR_031524.1	 microRNA 305 
Mir315	NR_031525.1	 microRNA 315 
Mir317	NR_031526.1	 microRNA 317 
Mir7	NR_031527.1	 microRNA 7 
Mir8	NR_031528.1	 microRNA 8 
Mir9a	NR_031529.1	 microRNA 9a 
Mir9b	NR_031530.1	 microRNA 9b 
Miriab-4	NR_031531.1	 microRNA iab-4 
Mir1-1	NR_034280.1	 microRNA 1-1 
Mirlet7	NR_034281.1	 microRNA let-7 
Mir10	NR_034282.1	 microRNA 10 
Mir100	NR_034283.1	 microRNA 100 
Mir137	NR_034284.1	 microRNA 137 
Mir13a	NR_034285.1	 microRNA 13a 
Mir14	NR_034286.1	 microRNA 14 
Mir2-3	NR_034287.1	 microRNA 2-3 
Mir275	NR_034288.1	 microRNA 275 
Mir279a	NR_034289.1	 microRNA 279a 
Mir283	NR_034290.1	 microRNA 283 
Mir29b	NR_034291.1	 microRNA 29b 
Mir31a	NR_034292.1	 microRNA 31a 
Mir33	NR_034293.1	 microRNA 33 
Mir34	NR_034294.1	 microRNA 34 
Mir375	NR_034295.1	 microRNA 375 
Mir71	NR_034296.1	 microRNA 71 
Mir79	NR_034297.1	 microRNA 79 
Mir87-1	NR_034298.1	 microRNA 87-1 
Mir87-2	NR_034299.1	 microRNA 87-2 
Mir92a	NR_034300.1	 microRNA 92a 
Mir927a	NR_034301.1	 microRNA 927a 
Mir928	NR_034302.1	 microRNA 928 
Mir190	NR_034303.1	 microRNA 190 
Mir929	NR_034304.1	 microRNA 929 
Mir932	NR_034305.1	 microRNA 932 
Mir252a	NR_034306.1	 microRNA 252a 
Mir13b	NR_034307.1	 microRNA 13b 
Mir996	NR_034308.1	 microRNA 996 
Mir263b	NR_034309.1	 microRNA 263b 
Mir92b-1	NR_034310.1	 microRNA 92b-1 
Mir985	NR_034312.1	 microRNA 985 
Mir1000	NR_034313.1	 microRNA 1000 
Mir1006	NR_034314.1	 microRNA 1006 
Mir981	NR_034315.1	 microRNA 981 
Mir316	NR_034316.1	 microRNA 316 
Mir993	NR_034317.1	 microRNA 993 
Mir11	NR_039428.1	 microRNA 11 
Mir1175	NR_039429.1	 microRNA 1175 
Mir193	NR_039430.1	 microRNA 193 
Mir307	NR_039431.1	 microRNA 307 
Mir2788	NR_039432.1	 microRNA 2788 
Mir989	NR_039433.1	 microRNA 989 
Mir3717	NR_039434.1	 microRNA 3717 
Mir3745	NR_039435.1	 microRNA 3745 
Mir3747a	NR_039437.1	 microRNA 3747a 
Mir3747b	NR_039438.1	 microRNA 3747b 
Mir3748	NR_039439.1	 microRNA 3748 
Mir3749	NR_039440.1	 microRNA 3749 
Mir3750	NR_039441.1	 microRNA 3750 
Mir3718a	NR_039442.1	 microRNA 3718a 
Mir3751	NR_039443.1	 microRNA 3751 
Mir3752	NR_039444.1	 microRNA 3752 
Mir3753	NR_039445.1	 microRNA 3753 
Mir3754	NR_039446.1	 microRNA 3754 
Mir3755	NR_039447.1	 microRNA 3755 
Mir3718b	NR_039448.1	 microRNA 3718b 
Mir3756	NR_039449.1	 microRNA 3756 
Mir3049	NR_039450.1	 microRNA 3049 
Mir3757	NR_039451.1	 microRNA 3757 
Mir3758	NR_039452.1	 microRNA 3758 
Mir3719	NR_039453.1	 microRNA 3719 
Mir3759	NR_039454.1	 microRNA 3759 
Mir3764	NR_039457.1	 microRNA 3764 
Mir3720	NR_039458.1	 microRNA 3720 
Mir3766	NR_039460.1	 microRNA 3766 
Mir3767	NR_039461.1	 microRNA 3767 
Mir3768	NR_039462.1	 microRNA 3768 
Mir3769	NR_039463.1	 microRNA 3769 
Mir971	NR_039464.1	 microRNA 971 
Mir3770	NR_039465.1	 microRNA 3770 
Mir3721	NR_039466.1	 microRNA 3721 
Mir3771	NR_039467.1	 microRNA 3771 
Mir3772	NR_039468.1	 microRNA 3772 
Mir3773	NR_039469.1	 microRNA 3773 
Mir3722	NR_039470.1	 microRNA 3722 
Mir3774	NR_039471.1	 microRNA 3774 
Mir3775	NR_039472.1	 microRNA 3775 
Mir3776	NR_039473.1	 microRNA 3776 
Mir3777	NR_039474.1	 microRNA 3777 
Mir3779	NR_039476.1	 microRNA 3779 
Mir965	NR_039477.1	 microRNA 965 
Mir3780	NR_039478.1	 microRNA 3780 
Mir3781	NR_039479.1	 microRNA 3781 
Mir3782	NR_039480.1	 microRNA 3782 
Mir3783	NR_039481.1	 microRNA 3783 
Mir3784	NR_039483.1	 microRNA 3784 
Mir3785	NR_039484.1	 microRNA 3785 
Mir3786	NR_039485.1	 microRNA 3786 
Mir3787	NR_039486.1	 microRNA 3787 
Mir3788	NR_039487.1	 microRNA 3788 
Mir3789	NR_039488.1	 microRNA 3789 
Mir3790	NR_039489.1	 microRNA 3790 
Mir3791	NR_039490.1	 microRNA 3791 
Mir279b	NR_039491.1	 microRNA 279b 
Mir9c	NR_039492.1	 microRNA 9c 
Mir2944	NR_039493.1	 microRNA 2944 
Mir318	NR_039494.1	 microRNA 318 
Mir3792	NR_039495.1	 microRNA 3792 
Mir927b	NR_039496.1	 microRNA 927b 
Mir3793	NR_039497.1	 microRNA 3793 
Mir3794	NR_039498.1	 microRNA 3794 
Mir306	NR_039499.1	 microRNA 306 
Mir3795	NR_039500.1	 microRNA 3795 
Mir3796	NR_039501.1	 microRNA 3796 
Mir3797	NR_039502.1	 microRNA 3797 
Mir3477	NR_039503.1	 microRNA 3477 
Mir3798	NR_039504.1	 microRNA 3798 
Mir3799	NR_039505.1	 microRNA 3799 
Mir279c	NR_039506.1	 microRNA 279c 
Mir3800	NR_039507.1	 microRNA 3800 
Mir3801	NR_039508.1	 microRNA 3801 
Mir3723	NR_039509.1	 microRNA 3723 
Mir3724	NR_039510.1	 microRNA 3724 
Mir2796	NR_039511.1	 microRNA 2796 
Mir3726	NR_039513.1	 microRNA 3726 
Mir3727	NR_039514.1	 microRNA 3727 
Mir3728	NR_039515.1	 microRNA 3728 
Mir3729	NR_039516.1	 microRNA 3729 
Mir3715	NR_039517.1	 microRNA 3715 
Mir3730	NR_039518.1	 microRNA 3730 
Mir3731	NR_039519.1	 microRNA 3731 
Mir3716a	NR_039521.1	 microRNA 3716a 
Mir3733	NR_039522.1	 microRNA 3733 
Mir3734	NR_039523.1	 microRNA 3734 
Mir3735	NR_039524.1	 microRNA 3735 
Mir3736	NR_039525.1	 microRNA 3736 
Mir3739	NR_039528.1	 microRNA 3739 
Mir3741	NR_039530.1	 microRNA 3741 
Mir3743	NR_039532.1	 microRNA 3743 
Mir3744	NR_039533.1	 microRNA 3744 
Mir980	NR_039534.1	 microRNA 980 
Mir750	NR_039535.1	 microRNA 750 
Mir3762	NR_048934.1	 microRNA 3762 
Mir6000a	NR_127302.1	 microRNA 6000a 
Mir6001	NR_127303.1	 microRNA 6001 
Mir6002	NR_127304.1	 microRNA 6002 
Mir6003	NR_127305.1	 microRNA 6003 
Mir6004	NR_127306.1	 microRNA 6004 
Mir6005	NR_127307.1	 microRNA 6005 
Mir2765	NR_127308.1	 microRNA 2765 
Mir6006	NR_127309.1	 microRNA 6006 
Mir6037	NR_127310.1	 microRNA 6037 
Mir6038	NR_127311.1	 microRNA 6038 
Mir6039	NR_127312.1	 microRNA 6039 
Mir6040	NR_127313.1	 microRNA 6040 
Mir6000b	NR_127314.1	 microRNA 6000b 
Mir252b	NR_127315.1	 microRNA 252b 
Mir6042	NR_127316.1	 microRNA 6042 
Mir6043	NR_127317.1	 microRNA 6043 
Mir6044	NR_127318.1	 microRNA 6044 
Mir6045	NR_127319.1	 microRNA 6045 
Mir92c	NR_127320.1	 microRNA 92c 
Mir6046	NR_127321.1	 microRNA 6046 
Mir6012	NR_127322.1	 microRNA 6012 
Mir6047a	NR_127323.1	 microRNA 6047a 
Mir6048	NR_127324.1	 microRNA 6048 
Mir6049	NR_127325.1	 microRNA 6049 
Mir6051	NR_127327.1	 microRNA 6051 
Mir6053	NR_127328.1	 microRNA 6053 
Mir6054	NR_127329.1	 microRNA 6054 
Mir6055	NR_127330.1	 microRNA 6055 
Mir6056	NR_127331.1	 microRNA 6056 
Mir6057	NR_127332.1	 microRNA 6057 
Mir6058	NR_127333.1	 microRNA 6058 
Mir6059	NR_127334.1	 microRNA 6059 
Mir6060	NR_127335.1	 microRNA 6060 
Mir6061	NR_127336.1	 microRNA 6061 
Mir6063	NR_127337.1	 microRNA 6063 
Mir6047b	NR_127338.1	 microRNA 6047b 
Mir6064	NR_127339.1	 microRNA 6064 
Mir6065	NR_127340.1	 microRNA 6065 
Mir6066	NR_127341.1	 microRNA 6066 
Mir6067	NR_127342.1	 microRNA 6067 
Mir9864	NR_127343.1	 microRNA 9864 
Mir279d	NR_127344.1	 microRNA 279d 
Mir3718c	NR_127345.1	 microRNA 3718c 
Mir9865	NR_127346.1	 microRNA 9865 
Mir9866	NR_127347.1	 microRNA 9866 
Mir9867	NR_127348.1	 microRNA 9867 
Mir9868	NR_127349.1	 microRNA 9868 
Mir9869	NR_127350.1	 microRNA 9869 
Mir9870	NR_127351.1	 microRNA 9870 
Mir9871	NR_127352.1	 microRNA 9871 
Mir9872	NR_127353.1	 microRNA 9872 
Mir9873	NR_127354.1	 microRNA 9873 
Mir9874	NR_127355.1	 microRNA 9874 
Mir9875	NR_127356.1	 microRNA 9875 
Mir9876	NR_127357.1	 microRNA 9876 
Mir9877	NR_127358.1	 microRNA 9877 
Mir9878	NR_127359.1	 microRNA 9878 
Mir9879	NR_127360.1	 microRNA 9879 
Mir9880	NR_127361.1	 microRNA 9880 
Mir9881	NR_127362.1	 microRNA 9881 
Mir9882	NR_127363.1	 microRNA 9882 
Mir9883	NR_127364.1	 microRNA 9883 
Mir9884	NR_127365.1	 microRNA 9884 
Mir9885	NR_127366.1	 microRNA 9885 
Mir9886	NR_127367.1	 microRNA 9886 
Mir9887	NR_127368.1	 microRNA 9887 
Mir2b	NR_127369.1	 microRNA 2b 
Mir9888	NR_127370.1	 microRNA 9888 
Mir9889	NR_127371.1	 microRNA 9889 
Mir9892	NR_127372.1	 microRNA 9892 
Mir9894	NR_127374.1	 microRNA 9894 
Mir9895	NR_127375.1	 microRNA 9895 
Mir9896	NR_127376.1	 microRNA 9896 
Mir3478	NR_127377.1	 microRNA 3478 
Mir3760	NR_130405.1	 microRNA 3760 
Mir6041	NR_130406.1	 microRNA 6041 
Mir6052	NR_130407.1	 microRNA 6052 
Mir6062	NR_130408.1	 microRNA 6062 
Mir9890	NR_130409.1	 microRNA 9890 
Mir9891	NR_130410.1	 microRNA 9891 
LOC724626	XM_001119823.5	 uncharacterized LOC724626 
LOC724756	XM_001119824.5	 uncharacterized LOC724756 
LOC724142	XM_001119826.5	 60S ribosomal protein L24 
LOC724113	XM_001119829.5	 uncharacterized LOC724113 
LOC724187	XM_001119831.5	 toll-like receptor 4 
LOC724450	XM_001119836.5	 uncharacterized LOC724450 
LOC724115	XM_001119847.5	 phospholipase DDHD1 
LOC724123	XM_001119855.5	 translation initiation factor eIF-2B subunit delta 
LOC724126	XM_001119858.5	 uncharacterized LOC724126 
LOC724138	XM_001119871.5	 igLON family member 5 
LOC724580	XM_001119879.5	 uncharacterized LOC724580 
LOC725033	XM_001119882.5	 uncharacterized LOC725033 
LOC724487	XM_001119883.4	 28 kDa heat- and acid-stable phosphoprotein 
LOC724274	XM_001119884.5	 protein lethal(2)essential for life 
LOC724188	XM_001119885.4	 protein transport protein Sec61 subunit beta 
LOC724794	XM_001119891.5	 multifunctional methyltransferase subunit TRM112-like protein 
LOC724326	XM_001119897.5	 peptidyl-prolyl cis-trans isomerase 
LOC724408	XM_001119898.5	 ras-related GTP-binding protein A 
LOC724678	XM_001119899.5	 histone H2A 
LOC724144	XM_001119900.5	 enhancer of rudimentary homolog 
LOC724148	XM_001119904.4	 homeobox protein MSX-2 
LOC724150	XM_001119906.5	 B-cell lymphoma/leukemia 11B 
LOC724151	XM_001119907.4	 programmed cell death protein 2 
LOC724152	XM_001119908.5	 uncharacterized LOC724152 
LOC724154	XM_001119910.5	 protein nessun dorma 
LOC724156	XM_001119912.5	 transcription factor Sp8-like 
LOC724158	XM_001119914.5	 mitotic spindle assembly checkpoint protein MAD2B 
LOC724160	XM_001119915.5	 uncharacterized LOC724160 
LOC724161	XM_001119916.4	 guanine nucleotide-binding protein-like 3 homolog 
LOC724164	XM_001119919.3	 39S ribosomal protein L30, mitochondrial 
LOC724166	XM_001119921.5	 intraflagellar transport protein 20 homolog 
LOC724175	XM_001119928.5	 probable cytochrome P450 304a1 
LOC724176	XM_001119929.5	 uncharacterized LOC724176 
LOC724178	XM_001119931.5	 uncharacterized LOC724178 
LOC724625	XM_001119937.5	 DNA-directed RNA polymerases I, II, and III subunit RPABC5 
LOC724365	XM_001119944.5	 ragulator complex protein LAMTOR4 homolog 
LOC724717	XM_001119946.4	 putative E3 ubiquitin-protein ligase protein PFF1365c 
LOC725076	XM_001119951.5	 CCHC-type zinc finger protein CG3800 
LOC724453	XM_001119958.5	 serine/threonine-protein kinase PAK 3 
LOC724901	XM_001119959.5	 bleomycin hydrolase 
LOC725315	XM_001119960.5	 uncharacterized LOC725315 
LOC724192	XM_001119962.5	 titin 
LOC724193	XM_001119963.5	 kinesin 8 
LOC724195	XM_001119965.5	 B-cell receptor CD22 
LOC724196	XM_001119966.5	 retinal homeobox protein Rx1 
LOC724197	XM_001119967.5	 uncharacterized LOC724197 
LOC724201	XM_001119971.5	 uncharacterized LOC724201 
LOC724203	XM_001119973.4	 ribosome biogenesis protein BRX1 homolog 
LOC724205	XM_001119975.5	 protein AF-9 
LOC724211	XM_001119981.5	 cytochrome P450 9e2 
LOC724212	XM_001119982.5	 60 kDa SS-A/Ro ribonucleoprotein 
LOC724223	XM_001119992.5	 hamartin 
LOC724225	XM_001119993.5	 sex peptide receptor-like 
LOC724227	XM_001119995.5	 synaptic vesicle glycoprotein 2B 
LOC724486	XM_001119998.5	 probable N-acetyltransferase san 
LOC724791	XM_001120000.5	 vitamin K epoxide reductase complex subunit 1-like protein 1 
LOC724367	XM_001120006.5	 protein lethal(2)essential for life 
LOC725101	XM_001120007.5	 uncharacterized LOC725101 
LOC724489	XM_001120009.5	 ubiquitin-like protein 5 
LOC724532	XM_001120011.5	 eukaryotic translation initiation factor 1A, X-chromosomal 
LOC725102	XM_001120012.5	 protein dpy-30 homolog 
LOC724869	XM_001120014.5	 histone H2B 
LOC724451	XM_001120016.5	 FAD-linked sulfhydryl oxidase ALR 
LOC724493	XM_001120018.3	 50S ribosomal protein L1 
LOC725573	XM_001120020.5	 uncharacterized LOC725573 
LOC724494	XM_001120023.5	 methionine-R-sulfoxide reductase B1 
LOC724873	XM_001120025.5	 ras-related protein Rab-7a 
LOC724236	XM_001120029.5	 chymotrypsin-like protease CTRL-1 
LOC724237	XM_001120030.5	 prostaglandin E2 receptor EP3 subtype 
LOC724239	XM_001120032.5	 kynurenine/alpha-aminoadipate aminotransferase, mitochondrial 
LOC724241	XM_001120034.5	 N-alpha-acetyltransferase 38-B, NatC auxiliary subunit 
LOC724242	XM_001120035.5	 protein neuralized 
LOC724244	XM_001120037.5	 structural maintenance of chromosomes protein 5 
LOC724246	XM_001120039.3	 growth/differentiation factor 2 
LOC724247	XM_001120040.5	 rRNA methyltransferase 3, mitochondrial 
LOC724250	XM_001120043.5	 serine protease snake 
LOC724252	XM_001120045.5	 homeotic protein deformed 
LOC724260	XM_001120052.4	 NAD kinase 2, mitochondrial-like 
LOC724262	XM_001120054.5	 putative peroxisomal biogenesis factor 10 
LOC724264	XM_001120056.5	 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 
LOC724267	XM_001120059.5	 ribosomal RNA-processing protein 7 homolog A 
LOC724269	XM_001120061.5	 connectin 
LOC724829	XM_001120067.5	 immediate early response 3-interacting protein 1 
LOC725184	XM_001120069.5	 gamma-aminobutyric acid receptor-associated protein 
LOC725144	XM_001120073.5	 uncharacterized LOC725144 
LOC724872	XM_001120083.5	 uncharacterized LOC724872 
LOC724280	XM_001120086.4	 UPF0545 protein C22orf39 homolog 
LOC724283	XM_001120089.5	 NPC intracellular cholesterol transporter 1 
LOC724288	XM_001120093.4	 gem-associated protein 5 
LOC724296	XM_001120100.5	 DNA mismatch repair protein Mlh1 
LOC724301	XM_001120105.4	 paired mesoderm homeobox protein 2-like 
LOC724306	XM_001120110.5	 uncharacterized protein C15orf41 homolog 
LOC724307	XM_001120111.5	 paired mesoderm homeobox protein 2-like 
LOC724308	XM_001120112.5	 serine protease 53 
LOC724310	XM_001120114.5	 uncharacterized LOC724310 
LOC724312	XM_001120116.5	 vanin-like protein 1 
LOC725272	XM_001120132.5	 histone H3 
LOC725565	XM_001120134.5	 nitric oxide synthase-interacting protein homolog 
LOC724449	XM_001120137.4	 protein lethal(2)essential for life 
LOC725038	XM_001120140.5	 NPC intracellular cholesterol transporter 2 homolog a 
LOC724676	XM_001120141.5	 ADP-ribosylation factor-like protein 1 
LOC725316	XM_001120146.5	 transmembrane protein 208 
LOC724327	XM_001120148.5	 C-factor 
LOC724328	XM_001120149.5	 arrestin domain-containing protein 17 
LOC724330	XM_001120151.3	 protein FAM45A 
LOC724332	XM_001120153.5	 rho guanine nucleotide exchange factor 3 
LOC724333	XM_001120154.5	 beta-1-syntrophin 
LOC724336	XM_001120157.5	 tRNA dimethylallyltransferase 
LOC724338	XM_001120159.5	 OTU domain-containing protein 5-B 
LOC724339	XM_001120160.5	 phosphatidylinositol N-acetylglucosaminyltransferase subunit Q 
LOC724343	XM_001120164.5	 DNA-directed RNA polymerase III subunit RPC9-like 
LOC724344	XM_001120165.5	 probable Ras GTPase-activating protein 
LOC724352	XM_001120173.3	 zinc finger protein 593 homolog 
LOC724353	XM_001120174.4	 prion-like-(Q/N-rich) domain-bearing protein 25 
LOC724356	XM_001120177.5	 RING finger protein 17 
LOC724357	XM_001120178.5	 uncharacterized LOC724357 
LOC724361	XM_001120182.5	 GPI inositol-deacylase 
LOC724363	XM_001120184.5	 activator of basal transcription 1 
LOC725308	XM_001120186.5	 histone H2A 
LOC725142	XM_001120188.4	 U6 snRNA-associated Sm-like protein LSm2 
LOC725379	XM_001120192.5	 uncharacterized protein C3orf18 homolog 
LOC724488	XM_001120194.5	 protein lethal(2)essential for life 
LOC725036	XM_001120196.5	 U7 snRNA-associated Sm-like protein LSm11 
LOC725311	XM_001120198.5	 longitudinals lacking protein-like 
LOC726088	XM_001120202.5	 serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform 
LOC724373	XM_001120208.5	 homeobox protein Nkx-2.5-like 
LOC724378	XM_001120213.5	 BMP and activin membrane-bound inhibitor homolog 
LOC724380	XM_001120215.5	 protein phosphatase 1 regulatory subunit 21 
LOC724382	XM_001120217.5	 cuticular protein analogous to peritrophins 3-A 
LOC724386	XM_001120220.5	 NPC intracellular cholesterol transporter 2 
LOC724388	XM_001120222.3	 solute carrier family 35 member G1 
LOC724390	XM_001120224.5	 uncharacterized LOC724390 
LOC724393	XM_001120227.5	 uncharacterized LOC724393 
LOC724398	XM_001120232.5	 tweedle motif cuticular protein 2 
LOC724399	XM_001120233.4	 lethal(2)neighbour of Tid protein 
LOC726034	XM_001120239.5	 G patch domain and ankyrin repeat-containing protein 1 homolog 
LOC725310	XM_001120242.5	 synaptobrevin-1 
LOC725742	XM_001120244.5	 vacuolar ATPase assembly integral membrane protein VMA21 homolog 
LOC725143	XM_001120245.5	 probable U3 small nucleolar RNA-associated protein 11 
LOC726428	XM_001120246.5	 probable RNA-binding protein EIF1AD 
LOC725646	XM_001120250.5	 N-acetylneuraminate lyase 
LOC725416	XM_001120253.5	 U1 small nuclear ribonucleoprotein C 
LOC726058	XM_001120264.5	 FACT complex subunit Ssrp1 
LOC724412	XM_001120268.5	 muscle segmentation homeobox 
LOC724418	XM_001120274.5	 venom acid phosphatase Acph-1-like 
LOC724420	XM_001120276.5	 transcription factor stalky 
LOC724422	XM_001120278.5	 homeobox protein Hox-B1a 
LOC724433	XM_001120289.5	 kell blood group glycoprotein homolog 
LOC724435	XM_001120291.5	 ribosomal RNA-processing protein 8 
LOC406124	XM_001120292.5	 gamma-aminobutyric acid receptor subunit beta 
LOC724436	XM_001120293.5	 phospholipase A2-like 
LOC724439	XM_001120296.5	 uncharacterized LOC724439 
LOC724440	XM_001120297.5	 calcium-transporting ATPase type 2C member 1 
LOC725099	XM_001120306.5	 spermidine synthase 
LOC725146	XM_001120311.4	 very-long-chain enoyl-CoA reductase 
LOC724457	XM_001120319.5	 uncharacterized LOC724457 
LOC724463	XM_001120325.5	 PI-PLC X domain-containing protein 3 
LOC724465	XM_001120327.5	 enhancer of split mbeta protein 
LOC724466	XM_001120328.5	 uncharacterized LOC724466 
LOC724467	XM_001120329.5	 iron-sulfur cluster assembly 2 homolog, mitochondrial 
LOC724474	XM_001120336.5	 la-related protein 7 
LOC725450	XM_001120346.5	 histone H2A 
LOC725273	XM_001120347.5	 uncharacterized LOC725273 
LOC726408	XM_001120350.5	 zinc finger protein 706 
LOC725309	XM_001120351.4	 keratin-associated protein 19-2 
LOC725717	XM_001120353.5	 polycomb group RING finger protein 3 
